major, minor, xPos, yPos
7354, 47683, 131.81829408286083, 331.1282734383857
30745, 50948, 152.87704803979545, 85.44184332842082
58610, 36050, 457.05904963996244, 299.54001813853307
61265, 34052, 474.6080112707413, 153.29809545403015
18155, 58632, 618.5094966431279, 205.9451876204512
31499, 2016, 585.7514349323408, 417.7034916676114
36242, 5515, 555.3332347723241, 569.7950912594944
23896, 25923, 740.1822972831948, 373.2459471715225
